Macaca_mulatta_74136438,Macaca mulatta,9544,MACAMULA0
Macaca_mulatta_2281118,Macaca mulatta,9544,MACAMULA0
M_lebetina_22417111,Macrovipera lebetina,8709,MACRLEBE0
M_lebetina_6562943,Macrovipera lebetina,8709,MACRLEBE0
M_lebetina_158906244,Macrovipera lebetina,8709,MACRLEBE0
M_lebetina_50980284,Macrovipera lebetina,8709,MACRLEBE0
M_lebetina_55774417,Macrovipera lebetina,8709,MACRLEBE0
M_lebetina_66390955,Macrovipera lebetina,8709,MACRLEBE0
M_lebetina_33391733,Macrovipera lebetina,8709,MACRLEBE0
M_lebetina_61104774,Macrovipera lebetina,8709,MACRLEBE0
M_gallopavo_326916800,Meleagris gallopavo,9103,MELEGALL0
M_gallopavo_326930091,Meleagris gallopavo,9103,MELEGALL0
Micropechis_ikaheka_239618552,Micropechis ikaheka,66188,MICRIKAH0
Mic_corallinus_241995596,Micrurus corallinus,54390,MICRCORA0
M_domestica_126340736,Monodelphis domestica,13616,MONODOME0
M_musculus_12834990,Mus musculus,10090,MUSMUSC0
Mus_musculus_5059155,Mus musculus,10090,MUSMUSC0
Mus_musculus_192911,Mus musculus,10090,MUSMUSC0
Mus_musculus_12852171,Mus musculus,10090,MUSMUSC0
Mus_musculus_11762009,Mus musculus,10090,MUSMUSC0
Mus_musculus_200047,Mus musculus,10090,MUSMUSC0
N_atra_32492058,Naja atra,8656,NAJAATRA0
N_atra_30172002,Naja atra,8656,NAJAATRA0
N_atra_126035655,Naja atra,8656,NAJAATRA0
N_atra_126035676,Naja atra,8656,NAJAATRA0
N_atra_126035682,Naja atra,8656,NAJAATRA0
N_kaouthia_197726028,Naja kaouthia,8649,NAJAKAOU0
N_kaouthia_197726030,Naja kaouthia,8649,NAJAKAOU0
Naja_kaouthia_239618554,Naja kaouthia,8649,NAJAKAOU0
N_mossambica_21435682,Naja mossambica,8644,NAJAMOSS0
N_sputatrix_5081371,Naja sputatrix,33626,NAJASPUT0
N_sputatrix_46411220,Naja sputatrix,33626,NAJASPUT0
N_sputatrix_46411222,Naja sputatrix,33626,NAJASPUT0
N_scutatus_71725673,Notechis scutatus,8663,NOTESCUT0
N_scutatus_68304017,Notechis scutatus,8663,NOTESCUT0
N_scutatus_76886018,Notechis scutatus,8663,NOTESCUT0
N_scutatus_76886020,Notechis scutatus,8663,NOTESCUT0
N_scutatus_76886022,Notechis scutatus,8663,NOTESCUT0
N_scutatus_145982765,Notechis scutatus,8663,NOTESCUT0
Notechis_scutatus_239618550,Notechis scutatus,8663,NOTESCUT0
Oncorhynchus_keta_1665754,Oncorhynchus keta,8018,ONCOKETA0
